"trial_num","mu_1","mu_2","payoff_1","payoff_2"
"1","0.37612050150804843","0.4817807033559868","0","1"
"2","0.3692453297348204","0.5680167374829427","0","1"
"3","0.4018534840759119","0.6063865248163998","1","1"
"4","0.4060186719357425","0.6184239704121466","1","0"
"5","0.3556912890717391","0.560999132191231","0","0"
"6","0.31678274062925127","0.5231903398275645","0","1"
"7","0.38833883011599446","0.5420681850663868","0","0"
"8","0.33968143177633114","0.5079400778013178","0","0"
"9","0.3252824872879724","0.5056624200240482","1","0"
"10","0.37524816414194095","0.5348081555223679","0","0"
"11","0.3345965886341443","0.6303388127975715","0","0"
"12","0.3313039174787279","0.6686038342553938","0","1"
"13","0.45274188341643784","0.5663180392100818","1","1"
"14","0.5581905005045454","0.4916588513305099","0","1"
"15","0.5737004236299756","0.5261725702849142","1","0"
"16","0.5541195666127594","0.48633592653611735","0","1"
"17","0.49387699175277955","0.4893577294678644","0","1"
"18","0.5105157312298484","0.5215171335406819","1","0"
"19","0.53078368478139","0.4490333944896997","1","0"
"20","0.5512142041067907","0.40844987291906387","1","1"
"21","0.5495169393595097","0.389368019232852","0","0"
"22","0.5503504138095399","0.4073008345853941","0","1"
"23","0.6933352375562946","0.3618802023218255","0","0"
"24","0.5","0.5","0","0"
"25","0.4297486649783884","0.5914739781667699","0","0"
"26","0.5004562998118387","0.530549539507503","0","1"
"27","0.5306160381337024","0.5058186811198905","1","1"
"28","0.41488462792686087","0.5163642161094838","1","1"
"29","0.4840909376788499","0.5420953505553211","1","1"
"30","0.419310384474035","0.5422141247191518","0","1"
"31","0.4469538775428805","0.6243061733822612","0","1"
"32","0.32601438681371686","0.6836855526236307","1","1"
"33","0.3141281702727786","0.7234603302115825","1","0"
"34","0.3978846134511532","0.6318833267692511","0","1"
"35","0.3971644297898127","0.7145360946163468","0","0"
"36","0.360056884616894","0.7734810338196969","1","1"
"37","0.4171497707868035","0.7333887642453376","1","1"
"38","0.45040317241982497","0.7816486776024151","0","0"
"39","0.41770363778629893","0.8322370615364533","0","1"
"40","0.4132431879968802","0.8219267284156309","1","1"
"41","0.458929573740642","0.7775997840128939","1","1"
"42","0.616593861184124","0.7003261804736282","1","1"
"43","0.5357921260065337","0.7917490424526112","1","1"
"44","0.44375517021553923","0.7566861529258107","1","1"
"45","0.3997200246735694","0.7213379575412395","1","1"
"46","0.3914049267488865","0.5907051072443036","1","0"
"47","0.40002784869086416","0.6227822817721285","1","1"
"48","0.30143708413360537","0.6751696531650628","0","1"
"49","0.28034341281055253","0.6882941008359715","1","0"
"50","0.15240036509038518","0.7116458824927951","0","1"
"51","0.0857590073054707","0.6270082666819776","1","1"
"52","0.08787595199974971","0.6149922931088189","1","1"
"53","0.1440511386015757","0.5604605392301316","0","1"
"54","0.1644744812148349","0.6426751733147041","0","1"
"55","0.172929530939198","0.7006445430495649","0","1"
"56","0.5","0.5","1","1"
"57","0.6646897694485154","0.37591360819697406","1","0"
"58","0.7093930889482782","0.4326975362914206","0","0"
"59","0.7395582812627012","0.48311699016580434","1","1"
"60","0.7134711620083635","0.4948940513508544","1","0"
"61","0.5","0.5","0","1"
"62","0.5552669619500247","0.5224699851957059","0","1"
"63","0.4718256707730478","0.593975598097021","0","1"
"64","0.4395909066139978","0.6320250104001924","1","1"
"65","0.4854881945284666","0.5983502918516136","1","1"
"66","0.5318002040265654","0.5284613240101946","1","1"
"67","0.6227163157895835","0.5480536844783122","1","1"
"68","0.5867938710364445","0.619028835305532","0","1"
"69","0.5403225560875776","0.6003098971477725","1","0"
"70","0.6020202449309928","0.6407637560691318","0","1"
"71","0.7309876701023401","0.6368918170976035","0","0"
"72","0.6785316192752885","0.5744451015559209","1","1"
"73","0.7393518307452585","0.5055652967870252","1","0"
"74","0.7967724438309617","0.5468566380880456","1","0"
"75","0.7946278070139384","0.5196900425707666","1","1"
"76","0.8373358610748496","0.4744057541388499","1","1"
"77","0.8725840824688836","0.4886786704034034","1","1"
"78","0.7632453219845305","0.5667016337488749","1","0"
"79","0.7110779111460299","0.47632321416483425","1","0"
"80","0.6416258478101291","0.5349444501994123","1","0"
"81","0.6427253215337572","0.5664700306655981","0","1"
"82","0.5726503573456894","0.571173653499861","1","1"
"83","0.4453360837190373","0.6619429435425651","1","1"
"84","0.41297812596285355","0.571534515816251","1","1"
"85","0.4160445642038598","0.5860726234137403","1","1"
"86","0.4411129539883213","0.6153765667125941","0","1"
"87","0.45356088747469514","0.6546657758210146","0","0"
"88","0.44859355127363454","0.6673591774812646","0","1"
"89","0.5","0.5","0","0"
"90","0.48278108285699084","0.5338451224004406","1","0"
"91","0.39669359465157317","0.5629140485293669","0","0"
"92","0.3705809894951062","0.572382366901749","1","1"
"93","0.33590010285272087","0.5485582525425028","1","1"
"94","0.274084354215795","0.5458301431714795","0","1"
"95","0.2547343618218937","0.5252627557844971","1","0"
"96","0.2685522918896303","0.5381452191034987","0","1"
"97","0.1857675214500181","0.5092421422633104","1","1"
"98","0.1609680606407052","0.5093905848910847","0","1"
"99","0.0478393928437569","0.6367728957165109","0","1"
"100","0.194754323805566","0.5590560689701805","0","1"
"101","0.2716977031036383","0.5502060583848811","0","1"
"102","0.25650514121085544","0.5228872787508047","0","0"
"103","0.33592994329347736","0.5184756734419851","1","0"
"104","0.41054278372134323","0.5256700591435082","1","1"
"105","0.37525269017819496","0.5638614498274225","1","1"
"106","0.3584961372996309","0.5685301171299262","1","0"
"107","0.28079974360571924","0.6205229649918067","0","0"
"108","0.1534920251167457","0.7242406870337024","1","1"
"109","0.0819311379567848","0.6732491942519134","0","1"
"110","0.1066731994509453","0.6926572588442801","0","1"
"111","0.1629632096689517","0.7099905697548444","0","1"
"112","0.0980592659651322","0.7876247026266732","0","0"
"113","0.1258722122283509","0.8136534275956759","0","0"
"114","0.5","0.5","1","1"
"115","0.5585421728297911","0.4009083401395169","0","1"
"116","0.6634671018453148","0.3740338627305797","1","1"
"117","0.5667293901515825","0.3628759110334763","0","0"
"118","0.6112589970067905","0.36081472941347625","0","1"
"119","0.536155228967122","0.3488567995979629","1","0"
"120","0.49598808928145155","0.33788349856736477","0","0"
"121","0.4515738303657735","0.3250900559937351","0","1"
"122","0.40726101165195716","0.3252098997844177","0","0"
"123","0.4208409140446995","0.28772363453812777","0","0"
"124","0.5084628584176001","0.2882186956637587","0","1"
"125","0.4298548996793312","0.33450867679966045","0","1"
"126","0.4771228139806647","0.3039530723068178","1","1"
"127","0.48049239953852985","0.2774064528313487","0","1"
"128","0.5413852059898466","0.2783678839800485","0","1"
"129","0.4653096074909847","0.241512033489524","0","1"
"130","0.529857382525683","0.27178110691467416","0","0"
"131","0.63966671960773","0.2023160266526768","1","0"
"132","0.5831466485595921","0.2065631621981841","1","0"
"133","0.5076477534007033","0.1445417070339719","0","0"
"134","0.5093140600462435","0.17725513579986119","1","0"
"135","0.5321860614735444","0.2155833711712174","1","0"
"136","0.6287702392087418","0.1986880445936718","1","0"
"137","0.6147298515693146","0.2403525510571631","1","0"
"138","0.5579643818615627","0.1609281639131763","1","0"
"139","0.5","0.5","1","1"
"140","0.5844037938295125","0.5611818691132454","1","1"
"141","0.6479120071482457","0.6113275169378521","0","0"
"142","0.6205808458676844","0.6195562271138254","0","1"
"143","0.6164278290581563","0.5700638712567145","1","0"
"144","0.5239334526666891","0.7367506839468113","0","0"
"145","0.4759233001162707","0.7615641647086567","1","1"
"146","0.5538316754203374","0.7457681082962556","0","1"
"147","0.4875763588491808","0.7368033734242784","0","1"
"148","0.5311412155116343","0.6688347650911164","1","1"
"149","0.42362240309578925","0.7210092193285386","1","0"
